# 经营范围规范表述目录（征求意见稿）
# 来源：P020210316361615430877.pdf；每行：条目代码	规范表述	对应行业分类	原始监管信息
D1001	发电、输电、供电业务	441电力生产；442电力供应 电力业务	发电、输电、供电业务 441电力生产；442电力供应 电力业务许可证核发; 电力业务许可证核发 电力业务、承装（修、
D1002	热力生产和供应	4430热力生产和供应	热力生产和供应 4430热力生产和供应
D1003	水力发电	4413水力发电 电力业务	水力发电 4413水力发电 电力业务许可证核发;取水许可; 电力业务许可证核发取水许可 电力业务、承装（修、 试）电力设施业务许可； 直接从江河、湖泊或者地 下取用水资源（除《取水 许可和水资源费征收管理
D1004	供电业务	442电力供应 电力业务	供电业务 442电力供应 电力业务许可证核发; 电力业务许可证核发 电力业务、承装（修、
D1005	供冷服务	443热力生产和供应	供冷服务 443热力生产和供应
D2001	燃气经营	4511天然气生产和供应业；4512液化石油气生产和供应业； 4513煤气生产和供应业 燃气经营	燃气经营 4511天然气生产和供应业；4512液化石油气生产和供应业； 4513煤气生产和供应业 燃气经营许可证核发; 燃气经营许可证核发 燃气经营许可证核发
D2002	生物质燃气生产和供应	4520生物质燃气生产和供应业 燃气经营	生物质燃气生产和供应 4520生物质燃气生产和供应业 燃气经营许可证核发; 燃气经营许可证核发 燃气经营许可证核发
D2003	燃气汽车加气经营	452生物质燃气生产和供应业；4511天然气生产和供应业； 4512液化石油气生产和供应业 燃气经营	燃气汽车加气经营 452生物质燃气生产和供应业；4511天然气生产和供应业； 4512液化石油气生产和供应业 燃气经营许可证核发; 燃气经营许可证核发 燃气经营许可证核发
D3001	自来水生产与供应	4610自来水生产和供应 取水	自来水生产与供应 4610自来水生产和供应 取水许可;饮用水供水单位卫生许可;饮 用水供水单位从事生产或者供应活动许 可; 取水许可饮用水供水单位卫生许可饮 用水供水单位从事生产或者供应活动 许可 直接从江河、湖泊或者地 下取用水资源（除《取水 许可和水资源费征收管理 条例》规定的不需要申请 领取取水许可证的以 外），需取得许可；涉及
D3002	污水处理及其再生利用	4620污水处理及其再生利用	污水处理及其再生利用 4620污水处理及其再生利用
D3003	海水淡化处理	4630海水淡化处理	海水淡化处理 4630海水淡化处理
D3004	雨水、微咸水及矿井水的收集 处理及利用	4690其他水的处理、利用与分配	雨水、微咸水及矿井水的收集 处理及利用 4690其他水的处理、利用与分配
D3005	污水处理及其再生利用（除环 境质量检测、污染源检查服	462污水处理及其再生利用	污水处理及其再生利用（除环 境质量检测、污染源检查服 462污水处理及其再生利用
E1001	电力设施承装、承修、承试	485架线及设备工程建筑；487电力工程施工 承装（修、试）电力设施	电力设施承装、承修、承试 485架线及设备工程建筑；487电力工程施工 承装（修、试）电力设施许可证核发; 承装（修、试）电力设施许可证核发 电力业务、承装（修、
E1002	地质灾害治理工程施工	479其他房屋建筑业；4899其他土木工程建筑施工 地质灾害治理工程施工单位甲级资质审 批;地质灾害治理工程施工单位乙级及 以下资质	地质灾害治理工程施工 479其他房屋建筑业；4899其他土木工程建筑施工 地质灾害治理工程施工单位甲级资质审 批;地质灾害治理工程施工单位乙级及 以下资质审批; 地质灾害治理工程施工单位甲级资质 审批地质灾害治理工程施工单位乙级 及以下资质审批 对从事地质灾害危险性评 估、承担专项地质灾害治 理工程勘查、设计、施工
E1003	文物保护工程施工	471住宅房屋建筑；479其他房屋建筑业；4899其他土木工程 建筑施工 文物保护工程施工一级资质	文物保护工程施工 471住宅房屋建筑；479其他房屋建筑业；4899其他土木工程 建筑施工 文物保护工程施工一级资质审批;文物 保护工程施工二级及以下资质审批; 文物保护工程施工一级资质审批文物 保护工程施工二级及以下资质审批 历史建筑实施原址保护， 进行外部修缮装饰、添加 设施以及改变历史建筑的
E1004	房屋建筑和市政基础设施项目 工程总承包	471住宅房屋建筑；472体育场馆建筑；485架线和管道工程建 筑；486节能环保工程施工；487电力工程施工；4813市政道 路工程建筑；4814城市轨道交通工程建筑；4819其他道路、 隧道和桥梁工程建筑；49建筑安装业 建筑业企业资质认定（建筑工程、市政 公用工程施工总承包一级）;建筑业企 业资质认定（施工总承包部分二级、部 分三级，专业承包部分一级、部分二级 、部分三级，特种工程专业承包）;建 设工程设计企业资质认定（甲级、部分 乙级）;建筑业企业资质认定（施工总 承包部分三级、专业承包部分三级、预 拌混凝土、模板脚手架专业承包、燃气 燃烧器具安装维修企业资质）;建设工 程勘察企业资质认定（乙级及以下、劳 务）;建设工程设计企业资质认定（部 分乙级及以下）;建筑施工企业安全生 产	房屋建筑和市政基础设施项目 工程总承包 471住宅房屋建筑；472体育场馆建筑；485架线和管道工程建 筑；486节能环保工程施工；487电力工程施工；4813市政道 路工程建筑；4814城市轨道交通工程建筑；4819其他道路、 隧道和桥梁工程建筑；49建筑安装业 建筑业企业资质认定（建筑工程、市政 公用工程施工总承包一级）;建筑业企 业资质认定（施工总承包部分二级、部 分三级，专业承包部分一级、部分二级 、部分三级，特种工程专业承包）;建 设工程设计企业资质认定（甲级、部分 乙级）;建筑业企业资质认定（施工总 承包部分三级、专业承包部分三级、预 拌混凝土、模板脚手架专业承包、燃气 燃烧器具安装维修企业资质）;建设工 程勘察企业资质认定（乙级及以下、劳 务）;建设工程设计企业资质认定（部 分乙级及以下）;建筑施工企业安全生 产许可证核发;建筑业企业资质认定 （施工总承包特级、部分一级、部分二 级和专业承包部分一级、部分二级）; 工程造价咨询企业甲级资质认定; 建筑业企业资质认定（建筑工程、市 政公用工程施工总承包一级）;建筑业 企业资质认定（施工总承包部分二级 、部分三级，专业承包部分一级、部 分二级、部分三级，特种工程专业承 包）;建设工程设计企业资质认定（甲 级、部分乙级）;建筑业企业资质认定 （施工总承包部分三级、专业承包部 分三级、预拌混凝土、模板脚手架专 业承包、燃气燃烧器具安装维修企业 资质）;建设工程勘察企业资质认定 （乙级及以下、劳务）;建设工程设计 企业资质认定（部分乙级及以下）;建 筑施工企业安全生产许可证核发;建筑 业企业资质认定（施工总承包特级、 部分一级、部分二级和专业承包部分 一级、部分二级）;工程造价咨询企业 建筑业企业资质认定；房 屋建筑工程、市政基础设 施工程施工图设计文件审 查；建设工程勘察、设计 企业资质认定
E1005	白蚁防治服务	7729其他污染治理	白蚁防治服务 7729其他污染治理
E1006	承接总公司工程建设业务	471住宅房屋建筑；472体育场馆建筑；481铁路、道路、隧道 和桥梁工程建筑；482水利和水运工程建筑；483海洋工程建 筑；484工矿工程建筑；485架线和管道工程建筑；486节能环 保工程施工；487电力工程施工；491电气安装；492管道和设 备安装；501建筑装饰和装修业；502建筑物拆除和场地准备 活动；503提供施工设备服务；701房地产开发经营；702物业 管理；703房地产中介服务；704房地产租赁经营	承接总公司工程建设业务 471住宅房屋建筑；472体育场馆建筑；481铁路、道路、隧道 和桥梁工程建筑；482水利和水运工程建筑；483海洋工程建 筑；484工矿工程建筑；485架线和管道工程建筑；486节能环 保工程施工；487电力工程施工；491电气安装；492管道和设 备安装；501建筑装饰和装修业；502建筑物拆除和场地准备 活动；503提供施工设备服务；701房地产开发经营；702物业 管理；703房地产中介服务；704房地产租赁经营
E2001	爆破作业	5021建筑物拆除活动；11开采专业及辅助性活动；4899其他 土木工程建筑施工 爆破作业单位	爆破作业 5021建筑物拆除活动；11开采专业及辅助性活动；4899其他 土木工程建筑施工 爆破作业单位许可; 爆破作业单位许可 爆破作业单位许可以及城 市、风景名胜区和重要工
E2002	园林绿化工程施工	4891园林绿化工程施工	园林绿化工程施工 4891园林绿化工程施工
E2003	体育场地设施工程施工	4892体育场地设施工程施工	体育场地设施工程施工 4892体育场地设施工程施工
E2004	土石方工程施工	5022场地准备活动	土石方工程施工 5022场地准备活动
E2005	对外承包工程	471住宅房屋建筑；472体育场馆建筑；481铁路、道路、隧道 和桥梁工程建筑；482水利和水运工程建筑；483海洋工程建 筑；484工矿工程建筑；485架线和管道工程建筑；486节能环 保工程施工；487电力工程施工；491电气安装；492管道和设 备安装；501建筑装饰和装修业；502建筑物拆除和场地准备 活动；503提供施工设备服务 对外承包工程企业备案 对外承包工程企 业备案;	对外承包工程 471住宅房屋建筑；472体育场馆建筑；481铁路、道路、隧道 和桥梁工程建筑；482水利和水运工程建筑；483海洋工程建 筑；484工矿工程建筑；485架线和管道工程建筑；486节能环 保工程施工；487电力工程施工；491电气安装；492管道和设 备安装；501建筑装饰和装修业；502建筑物拆除和场地准备 活动；503提供施工设备服务 对外承包工程企业备案 对外承包工程企 业备案;
E2006	普通机械设备安装服务	484工矿工程建筑；492管道和设备安装；	普通机械设备安装服务 484工矿工程建筑；492管道和设备安装；
E2007	建筑智能化系统设计	732工程和技术研究和试验发展；735社会人文科学研究；731 自然科学研究和试验发展；741气象服务；742地震服务；748 工程技术与设计服务；751技术推广服务；752知识产权服 务；753科技中介服务；754创业空间服务；7431海洋气象服 务；7432海洋环境服务；7441遥感测绘服务；7451检验检疫 服务；7452检测服务；7453计量服务；7454标准化服务； 7455认证认可服务；7461环境保护监测；7462生态资源监 测；7471能源矿产地质勘查；7473水、二氧化碳等矿产地质 勘查；7474基础地质勘查；7475地质勘查技术服务；7491工 业设计服务；7492专业设计服务；7493兽医服务 建设工程设计企业资质认定（部分乙级 及以下）;人民防空工程设计乙级资质	建筑智能化系统设计 732工程和技术研究和试验发展；735社会人文科学研究；731 自然科学研究和试验发展；741气象服务；742地震服务；748 工程技术与设计服务；751技术推广服务；752知识产权服 务；753科技中介服务；754创业空间服务；7431海洋气象服 务；7432海洋环境服务；7441遥感测绘服务；7451检验检疫 服务；7452检测服务；7453计量服务；7454标准化服务； 7455认证认可服务；7461环境保护监测；7462生态资源监 测；7471能源矿产地质勘查；7473水、二氧化碳等矿产地质 勘查；7474基础地质勘查；7475地质勘查技术服务；7491工 业设计服务；7492专业设计服务；7493兽医服务 建设工程设计企业资质认定（部分乙级 及以下）;人民防空工程设计乙级资质 审批;人民防空工程设计甲级资质审批; 建设工程设计企业资质认定（甲级、部 分乙级）; 建设工程设计企业资质认定（部分乙 级及以下）人民防空工程设计乙级资 质审批人民防空工程设计甲级资质审 批建设工程设计企业资质认定（甲级 、部分乙级） 建设工程勘察、设计企业 资质认定；人民防空工程 设计资质、建设监理资质 许可；房屋建筑工程、市 政基础设施工程施工图设 计文件审查
E2008	建筑智能化工程施工	471住宅房屋建筑；472体育场馆建筑；481铁路、道路、隧道 和桥梁工程建筑；482水利和水运工程建筑；483海洋工程建 筑；484工矿工程建筑；485架线和管道工程建筑；486节能环 保工程施工；487电力工程施工；491电气安装；492管道和设 备安装；501建筑装饰和装修业；502建筑物拆除和场地准备 活动；503提供施工设备服务 建筑业企业资质认定（施工总承包部分 二级、部分三级，专业承包部分一级、 部分二级、部分三级，特种工程专业承 包）;建筑业企业资质认定（施工总承 包部分三级、专业承包部分三级、预拌 混凝土、模板脚手架专业承包、燃气燃 烧器具安装维修企业资质）;建筑业企 业资质认定（施工总承包特级、部分一 级、部分二级和专业承包部分一级、部 分二级）;建筑业企业资质认定（建筑 工程、市政公用工程施工总承包一 建筑业企业资质认定（施工总承包部 分二级、部分三级，专业承包部分一 级、部分二级、部分三级，特种工程 专业承包）建筑业企业资质认定（施 工总承包部分三级、专业承包部分三 级、预拌混凝土、模板脚手架专业承 包、燃气燃烧器具安装维修企业资 质）建筑业企业资质认定（施工总承 包特级、部分一级、部分二级和专业 承包部分一级、部分二级）建筑业企 业资质认定（建筑工程、市政公用工 建筑业企业资质认定	建筑智能化工程施工 471住宅房屋建筑；472体育场馆建筑；481铁路、道路、隧道 和桥梁工程建筑；482水利和水运工程建筑；483海洋工程建 筑；484工矿工程建筑；485架线和管道工程建筑；486节能环 保工程施工；487电力工程施工；491电气安装；492管道和设 备安装；501建筑装饰和装修业；502建筑物拆除和场地准备 活动；503提供施工设备服务 建筑业企业资质认定（施工总承包部分 二级、部分三级，专业承包部分一级、 部分二级、部分三级，特种工程专业承 包）;建筑业企业资质认定（施工总承 包部分三级、专业承包部分三级、预拌 混凝土、模板脚手架专业承包、燃气燃 烧器具安装维修企业资质）;建筑业企 业资质认定（施工总承包特级、部分一 级、部分二级和专业承包部分一级、部 分二级）;建筑业企业资质认定（建筑 工程、市政公用工程施工总承包一 建筑业企业资质认定（施工总承包部 分二级、部分三级，专业承包部分一 级、部分二级、部分三级，特种工程 专业承包）建筑业企业资质认定（施 工总承包部分三级、专业承包部分三 级、预拌混凝土、模板脚手架专业承 包、燃气燃烧器具安装维修企业资 质）建筑业企业资质认定（施工总承 包特级、部分一级、部分二级和专业 承包部分一级、部分二级）建筑业企 业资质认定（建筑工程、市政公用工 建筑业企业资质认定
E3005	民用核安全设备安装	4999其他建筑安装 民用核安全设备安装单位	民用核安全设备安装 4999其他建筑安装 民用核安全设备安装单位许可证核发; 民用核安全设备安装单位许可证核发 军用和民用核设施安全设 备设计、制造、安装、无
E3006	各类工程建设活动	47房屋建筑业；48土木工程建筑业；49建筑安装业；501建筑 装饰和装修业；502建筑物拆除和场地准备活动；509其他未 列明建筑业 建筑业企业资质认定（建筑工程、市政 公用工程施工总承包一级）;建筑业企 业资质认定（施工总承包部分三级、专 业承包部分三级、预拌混凝土、模板脚 手架专业承包、燃气燃烧器具安装维修 企业资质）;建筑业企业资质认定（施 工总承包特级、部分一级、部分二级和 专业承包部分一级、部分二级）;建筑 施工企业安全生产	各类工程建设活动 47房屋建筑业；48土木工程建筑业；49建筑安装业；501建筑 装饰和装修业；502建筑物拆除和场地准备活动；509其他未 列明建筑业 建筑业企业资质认定（建筑工程、市政 公用工程施工总承包一级）;建筑业企 业资质认定（施工总承包部分三级、专 业承包部分三级、预拌混凝土、模板脚 手架专业承包、燃气燃烧器具安装维修 企业资质）;建筑业企业资质认定（施 工总承包特级、部分一级、部分二级和 专业承包部分一级、部分二级）;建筑 施工企业安全生产许可证核发;建筑业 企业资质认定（施工总承包部分二级、 部分三级，专业承包部分一级、部分二 级、部分三级，特种工程专业承包）; 建筑业企业资质认定（建筑工程、市 政公用工程施工总承包一级）建筑业 企业资质认定（施工总承包部分三级 、专业承包部分三级、预拌混凝土、 模板脚手架专业承包、燃气燃烧器具 安装维修企业资质）建筑业企业资质 认定（施工总承包特级、部分一级、 部分二级和专业承包部分一级、部分 二级）建筑施工企业安全生产许可证 核发建筑业企业资质认定（施工总承 包部分二级、部分三级，专业承包部 分一级、部分二级、部分三级，特种 建筑业企业资质认定；建 筑工程施工许可 《外资负面清单》核电站的建设、经营须由中方控股。
E3007	供热工程建设	4920管道和设备安装	供热工程建设 4920管道和设备安装
E3008	金属门窗工程施工	5012住宅装饰和装修	金属门窗工程施工 5012住宅装饰和装修
E3009	燃气燃烧器具安装、维修	4999其他建筑安装 建筑业企业资质认定（施工总承包部分 三级、专业承包部分三级、预拌混凝土 、模板脚手架专业承包、燃气燃烧器具 安装维修企业资质）; 建筑业企业资质认定（施工总承包部 分三级、专业承包部分三级、预拌混 凝土、模板脚手架专业承包、燃气燃 烧器具安装维修企业资质） 建筑业企业资质认定	燃气燃烧器具安装、维修 4999其他建筑安装 建筑业企业资质认定（施工总承包部分 三级、专业承包部分三级、预拌混凝土 、模板脚手架专业承包、燃气燃烧器具 安装维修企业资质）; 建筑业企业资质认定（施工总承包部 分三级、专业承包部分三级、预拌混 凝土、模板脚手架专业承包、燃气燃 烧器具安装维修企业资质） 建筑业企业资质认定
E3010	电气安装服务	491电气安装 建筑业企业资质认定（建筑工程、市政 公用工程施工总承包一级）;建筑业企 业资质认定（施工总承包部分二级、部 分三级，专业承包部分一级、部分二级 、部分三级，特种工程专业承包）;建 筑业企业资质认定（施工总承包特级、 部分一级、部分二级和专业承包部分一 级、部分二级）;建筑业企业资质认定 （施工总承包部分三级、专业承包部分 三级、预拌混凝土、模板脚手架专业承 包、燃气燃烧器具安装维修企业资 建筑业企业资质认定（建筑工程、市 政公用工程施工总承包一级）建筑业 企业资质认定（施工总承包部分二级 、部分三级，专业承包部分一级、部 分二级、部分三级，特种工程专业承 包）建筑业企业资质认定（施工总承 包特级、部分一级、部分二级和专业 承包部分一级、部分二级）建筑业企 业资质认定（施工总承包部分三级、 专业承包部分三级、预拌混凝土、模 板脚手架专业承包、燃气燃烧器具安 建筑业企业资质认定	电气安装服务 491电气安装 建筑业企业资质认定（建筑工程、市政 公用工程施工总承包一级）;建筑业企 业资质认定（施工总承包部分二级、部 分三级，专业承包部分一级、部分二级 、部分三级，特种工程专业承包）;建 筑业企业资质认定（施工总承包特级、 部分一级、部分二级和专业承包部分一 级、部分二级）;建筑业企业资质认定 （施工总承包部分三级、专业承包部分 三级、预拌混凝土、模板脚手架专业承 包、燃气燃烧器具安装维修企业资 建筑业企业资质认定（建筑工程、市 政公用工程施工总承包一级）建筑业 企业资质认定（施工总承包部分二级 、部分三级，专业承包部分一级、部 分二级、部分三级，特种工程专业承 包）建筑业企业资质认定（施工总承 包特级、部分一级、部分二级和专业 承包部分一级、部分二级）建筑业企 业资质认定（施工总承包部分三级、 专业承包部分三级、预拌混凝土、模 板脚手架专业承包、燃气燃烧器具安 建筑业企业资质认定
E4002	住宅室内装饰装修	5012住宅装饰和装修 建筑业企业资质认定（施工总承包部分 二级、部分三级，专业承包部分一级、 部分二级、部分三级，特种工程专业承 包）; 建筑业企业资质认定（施工总承包部 分二级、部分三级，专业承包部分一 级、部分二级、部分三级，特种工程 专业承包） 建筑业企业资质认定	住宅室内装饰装修 5012住宅装饰和装修 建筑业企业资质认定（施工总承包部分 二级、部分三级，专业承包部分一级、 部分二级、部分三级，特种工程专业承 包）; 建筑业企业资质认定（施工总承包部 分二级、部分三级，专业承包部分一 级、部分二级、部分三级，特种工程 专业承包） 建筑业企业资质认定
E4003	施工专业作业	5012住宅装饰和装修 建筑业企业资质认定（施工总承包部分 二级、部分三级，专业承包部分一级、 部分二级、部分三级，特种工程专业承 包）;建筑业企业资质认定（施工总承 包部分三级、专业承包部分三级、预拌 混凝土、模板脚手架专业承包、燃气燃 烧器具安装维修企业资质）; 建筑业企业资质认定（施工总承包部 分二级、部分三级，专业承包部分一 级、部分二级、部分三级，特种工程 专业承包）建筑业企业资质认定（施 工总承包部分三级、专业承包部分三 级、预拌混凝土、模板脚手架专业承 包、燃气燃烧器具安装维修企业资 建筑业企业资质认定	施工专业作业 5012住宅装饰和装修 建筑业企业资质认定（施工总承包部分 二级、部分三级，专业承包部分一级、 部分二级、部分三级，特种工程专业承 包）;建筑业企业资质认定（施工总承 包部分三级、专业承包部分三级、预拌 混凝土、模板脚手架专业承包、燃气燃 烧器具安装维修企业资质）; 建筑业企业资质认定（施工总承包部 分二级、部分三级，专业承包部分一 级、部分二级、部分三级，特种工程 专业承包）建筑业企业资质认定（施 工总承包部分三级、专业承包部分三 级、预拌混凝土、模板脚手架专业承 包、燃气燃烧器具安装维修企业资 建筑业企业资质认定
E4004	建筑劳务分包	509其他未列明建筑业 建筑业企业资质认定（施工总承包特级 、部分一级、部分二级和专业承包部分 一级、部分二级）; 建筑业企业资质认定（施工总承包特 级、部分一级、部分二级和专业承包 部分一级、部分二级） 建筑业企业资质认定	建筑劳务分包 509其他未列明建筑业 建筑业企业资质认定（施工总承包特级 、部分一级、部分二级和专业承包部分 一级、部分二级）; 建筑业企业资质认定（施工总承包特 级、部分一级、部分二级和专业承包 部分一级、部分二级） 建筑业企业资质认定
E4005	消防设施工程施工	509其他未列明建筑业 建筑业企业资质认定（施工总承包部分 二级、部分三级，专业承包部分一级、 部分二级、部分三级，特种工程专业承 包）;建筑业企业资质认定（建筑工程 、市政公用工程施工总承包一级）; 建筑业企业资质认定（施工总承包部 分二级、部分三级，专业承包部分一 级、部分二级、部分三级，特种工程 专业承包）建筑业企业资质认定（建 筑工程、市政公用工程施工总承包一 建筑业企业资质认定	消防设施工程施工 509其他未列明建筑业 建筑业企业资质认定（施工总承包部分 二级、部分三级，专业承包部分一级、 部分二级、部分三级，特种工程专业承 包）;建筑业企业资质认定（建筑工程 、市政公用工程施工总承包一级）; 建筑业企业资质认定（施工总承包部 分二级、部分三级，专业承包部分一 级、部分二级、部分三级，特种工程 专业承包）建筑业企业资质认定（建 筑工程、市政公用工程施工总承包一 建筑业企业资质认定
E4006	建筑物拆除作业（爆破作业除 外）	5021建筑物拆除活动 建筑业企业资质认定（建筑工程、市政 公用工程施工总承包一级）;建筑业企 业资质认定（施工总承包部分三级、专 业承包部分三级、预拌混凝土、模板脚 手架专业承包、燃气燃烧器具安装维修 企业资质）;建筑业企业资质认定（施 工总承包特级、部分一级、部分二级和 专业承包部分一级、部分二级）;建筑 业企业资质认定（施工总承包部分二级 、部分三级，专业承包部分一级、部分 二级、部分三级，特种工程专业承 建筑业企业资质认定（建筑工程、市 政公用工程施工总承包一级）建筑业 企业资质认定（施工总承包部分三级 、专业承包部分三级、预拌混凝土、 模板脚手架专业承包、燃气燃烧器具 安装维修企业资质）建筑业企业资质 认定（施工总承包特级、部分一级、 部分二级和专业承包部分一级、部分 二级）建筑业企业资质认定（施工总 承包部分二级、部分三级，专业承包 部分一级、部分二级、部分三级，特 建筑业企业资质认定	建筑物拆除作业（爆破作业除 外） 5021建筑物拆除活动 建筑业企业资质认定（建筑工程、市政 公用工程施工总承包一级）;建筑业企 业资质认定（施工总承包部分三级、专 业承包部分三级、预拌混凝土、模板脚 手架专业承包、燃气燃烧器具安装维修 企业资质）;建筑业企业资质认定（施 工总承包特级、部分一级、部分二级和 专业承包部分一级、部分二级）;建筑 业企业资质认定（施工总承包部分二级 、部分三级，专业承包部分一级、部分 二级、部分三级，特种工程专业承 建筑业企业资质认定（建筑工程、市 政公用工程施工总承包一级）建筑业 企业资质认定（施工总承包部分三级 、专业承包部分三级、预拌混凝土、 模板脚手架专业承包、燃气燃烧器具 安装维修企业资质）建筑业企业资质 认定（施工总承包特级、部分一级、 部分二级和专业承包部分一级、部分 二级）建筑业企业资质认定（施工总 承包部分二级、部分三级，专业承包 部分一级、部分二级、部分三级，特 建筑业企业资质认定
E4007	渔港渔船泊位建设	509其他未列明建筑业	渔港渔船泊位建设 509其他未列明建筑业
E4008	家具安装和维修服务	5012住宅装饰和装修	家具安装和维修服务 5012住宅装饰和装修
E4009	房屋拆迁服务	7249其他专业咨询与调查；7299其他未列明商务服务业；809 其他居民服务业；829其他未列明服务业；709其他房地产业	房屋拆迁服务 7249其他专业咨询与调查；7299其他未列明商务服务业；809 其他居民服务业；829其他未列明服务业；709其他房地产业
F1001	农作物种子进出口	5112种子批发 进出口农作物种子	农作物种子进出口 5112种子批发 进出口农作物种子审批;农作物种子生 产经营（进出口）许可证核发;进出口 农作物种子（苗）审批（初审）;对外 贸易经营者备案登记; 进出口农作物种子审批;农作物种子生 产经营（进出口）许可证核发;进出口 农作物种子（苗）审批（初审）;对外 贸易经营者备案登记（自贸区适用） 农作物种子、林木种子、 草种、烟草种、中药材种 、食用菌菌种种子质量检 验机构资格认定；农作物
F1002	食用菌菌种进出口	5112种子批发 对外贸易经营者备案登记;食用菌菌种 进出口	食用菌菌种进出口 5112种子批发 对外贸易经营者备案登记;食用菌菌种 进出口审批; 对外贸易经营者备案登记（自贸区适 用）;食用菌菌种进出口审批;； 农作物种子、林木种子、 草种、烟草种、中药材种
F1003	水产苗种进出口	5117渔业产品批发 水产苗种进出口	水产苗种进出口 5117渔业产品批发 水产苗种进出口审批;重要水产苗种进 出口审批;对外贸易经营者备案登记; 水产苗种进出口审批;重要水产苗种进 出口审批;对外贸易经营者备案登记 （自贸区适用） 水产苗种、转基因水产苗 种生产经营许可，重要水 产苗种进出口许可；
F1004	林木种子进出口	5112种子批发 林草种子（进出口）生产经营	林木种子进出口 5112种子批发 林草种子（进出口）生产经营许可证核 发;对外贸易经营者备案登记; 林草种子（进出口）生产经营许可证 核发;对外贸易经营者备案登记（自贸 区适用） 农作物种子、林木种子、 草种、烟草种、中药材种 、食用菌菌种生产经营、
F1005	草种进出口	5112种子批发 对外贸易经营者备案登记;林草种子 （进出口）生产经营	草种进出口 5112种子批发 对外贸易经营者备案登记;林草种子 （进出口）生产经营许可证核发;草种 进出口审批; 对外贸易经营者备案登记（自贸区适 用）;林草种子（进出口）生产经营许 可证核发;草种进出口审批;； 农作物种子、林木种子、 草种、烟草种、中药材种 、食用菌菌种生产经营、
F1007	出版物进口	5145音像制品、电子和数字出版物批发 对外贸易经营者备案登记;出版物进口 经营单位设立、变更、合并、分立、设 立分支机构	出版物进口 5145音像制品、电子和数字出版物批发 对外贸易经营者备案登记;出版物进口 经营单位设立、变更、合并、分立、设 立分支机构审批; 对外贸易经营者备案登记（自贸区适 用）;出版物进口经营单位设立、变更 、合并、分立、设立分支机构审批;； 订户订购境外出版物审 批；进口出版物目录备案 核准审批
F1008	艺术品进出口	5146首饰、工艺品及收藏品批发 对外贸易经营者备案登记;美术品进出 口经营活动	艺术品进出口 5146首饰、工艺品及收藏品批发 对外贸易经营者备案登记;美术品进出 口经营活动审批; 对外贸易经营者备案登记（自贸区适 用）;美术品进出口经营活动审批;； 石油、天然气、页岩气、 煤层气对外合作专营；对 外合作项目（含风险勘探 区块、合作开发区块和总 体开发方案）由指定公司 专营；石油天然气（含煤
F1009	药品进出口	5151西药批发；5152中药批发 麻醉药品和精神药品进出口准许证核 发;对外贸易经营者备案登记;蛋白同化 制剂、肽类激素进口准许证	药品进出口 5151西药批发；5152中药批发 麻醉药品和精神药品进出口准许证核 发;对外贸易经营者备案登记;蛋白同化 制剂、肽类激素进口准许证核发; 麻醉药品和精神药品进出口准许证核 发;对外贸易经营者备案登记（自贸区 适用）;蛋白同化制剂、肽类激素进口 准许证核发;； 麻醉药品和精神药品进出 口准许证核发；蛋白同化 制剂、肽类激素进出口审 批
F1010	有毒化学品进出口	516矿产品、建材及化工产品批发 对外贸易经营者备案登记;危险化学品 进出口环境管理登记证	有毒化学品进出口 516矿产品、建材及化工产品批发 对外贸易经营者备案登记;危险化学品 进出口环境管理登记证核发; 对外贸易经营者备案登记（自贸区适 用）;危险化学品进出口环境管理登记 证核发;； 危险化学品经营、安全使 用许可证及进出口环境管 理登记许可证核发；剧毒
F1011	新化学物质进口	516矿产品、建材及化工产品批发 新化学物质环境管理登记证	新化学物质进口 516矿产品、建材及化工产品批发 新化学物质环境管理登记证核发;对外 贸易经营者备案登记; 新化学物质环境管理登记证核发;对外 贸易经营者备案登记（自贸区适 新化学物质环境管理登记 证核发和科研备案
F1012	新型铁路机车车辆进口	5172汽车及零配件批发 铁路机车车辆设计、制造、维修或进口	新型铁路机车车辆进口 5172汽车及零配件批发 铁路机车车辆设计、制造、维修或进口 许可;对外贸易经营者备案登记; 铁路机车车辆设计、制造、维修或进 口许可;对外贸易经营者备案登记（自 贸区适用） 铁路机车车辆设计、制造 、维修或进口许可；石油 、天然气、页岩气、煤层 气对外合作专营；对外合 作项目（含风险勘探区块 、合作开发区块和总体开
F1013	黄金及其制品进出口	5199其他未列明批发业 黄金及其制品进出口	黄金及其制品进出口 5199其他未列明批发业 黄金及其制品进出口审批;对外贸易经 营者备案登记; 黄金及其制品进出口审批;对外贸易经 营者备案登记（自贸区适用） 黄金及其制品进出口审 批；石油、天然气、页岩 气、煤层气对外合作专 营；对外合作项目（含风 险勘探区块、合作开发区 块和总体开发方案）由指
F1014	弩进口	5199其他未列明批发业 弩的制造、销售、进口、运输、使用审 批（运输、除营业性射击场开设弩射项 目外的其他使用）;对外贸易经营者备 案登记;弩的制造、销售、进口、运输 、使用	弩进口 5199其他未列明批发业 弩的制造、销售、进口、运输、使用审 批（运输、除营业性射击场开设弩射项 目外的其他使用）;对外贸易经营者备 案登记;弩的制造、销售、进口、运输 、使用审批（制造、销售、进口、或营 业性射击场开设弩射项目）; 弩的制造、销售、进口、运输、使用 审批（运输、除营业性射击场开设弩 射项目外的其他使用）;对外贸易经营 者备案登记（自贸区适用）;弩的制造 、销售、进口、运输、使用审批（制 造、销售、进口、或营业性射击场开
